,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
0,1352121,how good is water therapy.i drink 1.5 ltrs 1st thing in the morning how effective is it in cleansing your body,"Is water therapy the answer to all ailments? Ive been on it for 3 weeks but some prevailed me from continuing the therapy since fluid retention may cause high blood pressure. i used to take hypertensive drugs but have been stopped by my doctor as blood pressure has stabilized. My friend who introduced me to water therapy said that it is for life as our body needs water to cleanse us from all sorts of ailments..by the way, im 55 years old and lately have been having joint pains in the hands..hoping this therapy will ease the discomfort.  I do exercise but taking 1.5 liters of water in 10 minutes every morning is another hope for me to get me out of these joint pains..please help me clarify my doubts on water therapy..thank you","Yes, water is very good for you.  http://www.watercure.com/",water therapy.,,,,,,,,but some prevailed me from continuing the therapy since fluid retention may cause high blood pressure.,water therapy,,,,,,,,,  lately have been having joint pains in the hands..hoping this therapy will ease the discomfort. ~~~,water therapy,please help me clarify my doubts on water therapy.,water therapy,,,,,Yes: Is water therapy the answer to all ailments?,Yes: please help me clarify my doubts on water therapy..thank you,,,,,No,,,
2,2580096,Taking medicine while trying to conceive??? Please read.?,"I had a miscarriage back in early february, and now I am trying to conceive again.  We really want to start a family. I have chronic sinunitis and am prone to sinus infections a lot.  I talked to a friend of mine whose doctor actually gave her a list of medicines that were the safest to take while trying to conceive, and sudafed was on that list.  That is what I am trying now to unblock my sinuses and relieve the sinus pressure and headaches.  I am trying to avoid putting anything in my body that might screw up my chances of becoming pregnant. Am I being overly cautious?  The doctors where I live aren't worth a flip.  Does anybody have any suggestions that are safe to try for my sinuses if the sudafed doesn't work???  Serious answers only!  Thsnks.",Most of us aren't doctors here on Yahoo Q&A's. Try getting a new doctor.If you take advice from someone on Yahoo Q&A's and it harms you in any way then it's your fault.Be careful.,trying to conceive again,,Female,,I had a miscarriage back in early February,miscarriage,,,,,The doctors where I live aren't worth a flip. ,The doctors ,,,,,,,We really want to start a family.,a family,,,,,,,Yes:  Does anybody have any suggestions that are safe to try for my sinuses if the sudafed doesn't work???,Yes: Am I being overly cautious? ,,,,,Yes: Be careful.,,,
3,2552587,Swollen lump w/pain to touch and strange discomfort in lower abdomen/pelvic region.?,"I had not noticed anything at all and have become slightly bothered now without any information as to -what- it could be. Help?
The lump is slightly larger than 1 inch long, in an oval shape about 3/4-1inch thick.  I would guess the volume of about 1cubic inch total. It's hard, not squishy, and doesn't move more than a hair in any direction. It seems to be fine until I touch it. It's not like 'ouch!' painful, just tender. The skin around it is smooth and red, stretched a bit.  It's located dead-center between my belly button and gential area. Doesn't seem to be a lymphnode but I am not that familiar with lymphnodes.  When I gently pressed around it I noticed also that above my genital region the whole area (size of palm) is puffy. My lower gut and the general problem area has kind of had this faint ache sensation move through it quickly and then go away. I am not otherwise having problems. Any idea what this is, or could be? I really can't afford to see a doctor.","Lymph nodes are located off to the sides, not dead center in the abdomen.  I'm betting on a hernia.  Please read more about it here: http://en.wikipedia.org/wiki/Hernia

Because you are female, this could certainly be something more profound and I agree with the others... you can't afford NOT to go to the doctor.  

Call your local Health Department, explain your situation, ask if there is a free or low cost way to be seen in your city/county.  If you experience intense pain, discomfort, fever or additional swelling, go to the Emergency Room and tell them that you have no insurance, but would like to speak with a social worker to see if you qualify for assistance or bill reduction.

Keep in mind that while it might cost a bit at this point, it will probably only get worse later, risk your health to a large degree and certainly won't get less expensive to treat... only more complex.

I will tell you that this does NOT sound like anything I can think of that would go away on its own.  Even fibroids would probably move a bit when you touch the area.  Hernias can be quite dangerous if they go untreated, so please make arrangements to be seen by a qualified physician.  I'm happy to assist you if you contact me offlist by e-mail and tell me your area and income situation.",Swollen lump w/pain to touch and strange discomfort in lower abdomen/pelvic region,,Female,,,,,,,, I had not noticed anything at all and have become slightly bothered now without any information as to -what- it could be.,Swollen lump w/pain ,,,,,,,,,Doesn't seem to be a lymphnode but I am not that familiar with lymphnodes.,Swollen lump w/pain ,,,,,"Yes: Any idea what this is, or could be?",Yes: I really can't afford to see a doctor.,,,,,Yes: you can't afford NOT to go to the doctor.  ,,,
6,342129,I need help?,My gandpa is 72 years old he smokes alot and is an alcoholic. He drinks like a whole bottle of varka everyday and smokes a pack of cigaretts a day. He is always short of breath and caughs  alot and when i talk to him he sometimes forgets what we are talking about. Is there any way to get him to stop drinking and smoking. or is it to late. If we were just to cut him off from these things should we do it gradually or just at one time.,"First of all, as heartbreaking his self destructive behaviour is, your grandpa is an adult, and able to do what he wants. if he doesn't want to give up the booze and ciggies, then he won't no matter what you attempt. Given his symptoms, it is late for him to change, I am sure he has been smoking for decades by now. However, you can always speak to him and say. ""Gramps, i really love you, and would like to have you around longer in my life. If you want to give up smoking and drinking, I will help you. But it breaks my heart to see you like this.""
Don't cut him cold turkey, both alcohol and cigarettes are addictive, and you are just asking him to sneak around behind your back to indulge his habits. If he is drinking a bottle of vodka a day, he is definitely an alcoholic, and cutting him off would result in serious withdrawal symptoms. Only in a medically managed detoxification program would he succeed in breaking the liquor habit.",stop drinking and smoking,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes:  Is there any way to get him to stop drinking and smoking,Yes: If we were just to cut him off from these things should we do it gradually or just at one time.,,,,,"Yes: However, you can always speak to him and say. ""Gramps, i really love you, and would like to have you around longer in my life. If you want to give up smoking and drinking, I will help you. But it breaks my heart to see you like this.""",,,
7,2286054,Why do doctors hand out statins like they are candy to people who don't even have very high cholesterol levels,"One doctor prescribed 4 different statins to my husband over a period of a few years.  Each one caused serious chest pains! He had to go to a cardiologist and get tests to figure to that it was the statins (which cause cardiac and muscle wasting in some people), and he was otherwise very healthy.  Then I had some cholesterol levels that got high after going on Atkins.  My doctor prescribed ""Zetia"" (a drug that is not a statin but has similar side effects) and I also developed some muscle problems that led to an injury and a few months of physical therapy.  Guess what? I figured it out and within 2 days of stopping Zetia, everything was almost back to normal!
Don't tell me that this side-effect is ""rare""!  It's probably present to some extent in a large fraction of the population.  Doctors are handing statins, fosamax and anti-depressants (which I refuse to take) like candy. Go ahead and blame it on the patients if you like.  It's all about the money for some of you.","A doctor will only do what he is trained to do. He is told that these drugs are best for that condition so that is what he prescribes. If you want to blame anybody blame the pharmaceutical companies, they have a bigger control over the teaching of doctors than anybody else. They have the power and influence with the medical community and the government. A large percentage of the people in charge of the FDA retire to the private sector and to jobs with the pharmaceutical companies so why wreck their gravy train. There are alternatives that are just as effective that do not cause side effects. I have seen what they can do and it is awesome.",statins - side-effect,,Female,,,,,,,,Why do doctors hand out statins like they are candy to people who don't even have very high cholesterol levels ,One doctor prescribed 4 different statins,,,Each one caused serious chest pains! He had to go to a cardiologist and get tests to figure to that it was the statins (which cause cardiac and muscle wasting in some people),One doctor prescribed 4 different statins,,,,,,,"Guess what? I figured it out and within 2 days of stopping Zetia, everything was almost back to normal!","My doctor prescribed ""Zetia""",,,,Yes: Why do doctors hand out statins like they are candy to people who don't even have very high cholesterol levels,,,,,"Yes: If you want to blame anybody blame the pharmaceutical companies, they have a bigger control over the teaching of doctors than anybody else.",,,
9,2503326,Tylenol 3 while pregnant?,"I went to the doctor today and she informed me that my beta had doubled since the other day, which is good.  Going by the beta though, I am only 2 weeks pregnant.  

I told my doctor that I have been experiencing major migraines ( which I have since my c-section 3 years ago).  She gave me a prescription for Tylenol 3s.  I know that if it were dangerous she wouldn't have given them to me, but I was just wondering if anyone else has taken them during pregnancy?  Thanks!","Yes I did for an infected tooth. It is ok to take. I took mine in the first trimester and the third.........oh I came back to read and saw a women say to take advil. Definitley dont take advil or ibuprofen. That is worse than the tylenol 3. I had asked the doctor, the dentist and the pharmicist and looked it up online to make sure it was fine to take..lol, I wanted to really make sure. It is fine.",prescription for Tylenol 3s,,Female,,,,"she informed me that my beta had doubled since the other day, which is good. ",my beta had doubled since the other day,,,,,,,,,,,,,,," I know that if it were dangerous she wouldn't have given them to me, but I was just wondering if anyone else has taken them during pregnancy. ",Tylenol 3,,,Yes: Tylenol 3 while pregnant?,"Yes: She gave me a prescription for Tylenol 3s.  I know that if it were dangerous she wouldn't have given them to me, but I was just wondering if anyone else has taken them during pregnancy?",,,,,Yes:  It is ok to take. ,,,
11,2368193,Any one out there have PCOS?,"I have PCOS, with endometrial hyperplasia, I have been taking progestrin pills every 2-3 cycles for 7 days, then in jan. my cycles became normal, in april and may and june I havent had a cycle, and now I am having alot of pain, feels like bees stinging me inside, I dont have $ to go to the Dr. Should I be worried, or should I just take my cyle of progestrin pills? Doctors, nurses, anyone with PCOS, give me some tips ( recently lost my insurance when my husband left)",You never know what medications are doing to you. All have side effects. A year ago everyone thought that Vioxx was safe but it was killing people. Site below has info on helping pcos with diet.,PCOS,,Female,,recently lost my insurance when my husband left,lost my insurance,,,Should I be worried,PCOS,,,,,,,,,,,"I have been taking progestrin pills every 2-3 cycles for 7 days, then in jan. my cycles became normal, in april and may and june I havent had a cycle, and now I am having alot of pain, feels like bees stinging me inside.",PCOS,,,,,Yes: should I just take my cyle of progestrin pills? ,Yes:  Should I be worried,Yes: Any one out there have PCOS?,,,,Yes: You never know what medications are doing to you. ,,,
13,2033236,New to injecting insulin for diabetes. Help please!?,"I'm new to injecting Lantus for my type 2 diabetes. I have been taking it at bedtime (10 units) for about a month now. I have had 3-4 blood sugar readings for 70 or under when it was time for the injection. I went ahead and injected anyway, but my sugars dropped low to 40-50, so I'd have to eat cheese and crackers and drink orange juice quickly to bring the numbers back up. Should I skip the injection if my numbers are that low? My own Dr said no, but....dropping to 40 was scarey for me and my family. I'm a single mom, and its just me and my daughter (who is 8) in the home, and getting too low scares BOTH of us. Any suggestions? If you need more details, just ask. We eat dinner around 6, I take the lantus around 10:30. So, I don't know if I should have a small snack between or what. Thanks in advance for all responses!","You should always eat something, or drink some OJ, when you take your insulin.  If you continue to have such low numbers, and your doctor doesn't do anything, get another opinion.  Your blood sugar level should never go that low.  Also make sure that your glucometer is properly calibrated.

As far as snacks go, the best thing to do IS to have small snacks between your meals and before bed.  That keeps your metabolism going.  Try a couple pretzels and a piece of cheese, or some apple and peanut butter.  Always make sure that you eat protein when you eat carbs.  The protein keeps you from spiking your blood sugar.",njecting insulin for diabetes,,Male,,,,,,but....dropping to 40 was scarey for me and my family,injecting insulin for diabetes.,,,,,,,,,,, I don't know if I should have a small snack between or what.,injecting insulin for diabetes.,Should I skip the injection if my numbers are that low? My own Dr said no,injecting insulin for diabetes.,,,Yes:  should have a small snack between or what. ; Should I skip the injection if my numbers are that low?,"Yes: I'm a single mom, and its just me and my daughter (who is 8) in the home, and getting too low scares BOTH of us.",,,,,Other: ,,,
14,10079,Negative Pregnancy test...No Period?,"Well, I am trying to have another baby. I was pregnant last month but it was a chemical pregnancy so I received my period 1 day late. Now this cycle we actively tried, I know exactly when I ovulated, I had implantation signs on my fertility chart, I have been taking my Basal Body Temp every morning. It is still very high every morning and has been high now 15 days past ovulation. Well... I took an HPT at 10 DPO and then another Sunday (the day I should have gotten my period) and then this morning. I took Accuclear brands on 10 DPO and 13 DPO and this morning at 15 DPO I took the Clear Blue Easy Digital. All negative. I do have light cramping, headache, sore breasts, nausea and am very confused. I am hoping to get in for a blood test, but with my work schedule it is hard. Has anyone here ever had anything like this and be pregnant? Or am I just having false hope?",Go to your doctor and get a blood test done.  Most blood tests to determine pregnancy are more accurate than the home pregnancy tests.  GOOD LUCK.,Negative Pregnancy test,,Female,, I was pregnant last month but it was a chemical pregnancy.  ,I am trying to have another baby.,,,,,,,,,,,,,,," I do have light cramping, headache, sore breasts, nausea and am very confused.",All negative.,,,,,,Yes:  am I just having false hope?,Yes: Has anyone here ever had anything like this and be pregnant?,,,,No,,,
16,4110851,"I recently had a miscarriage, my doc says that everything seems okay.  Why am I still bleeding?","I passed the placenta and ""remains"" (for lack of a better word) about a week or more ago.  I stopped bleeding about two days ago.  Today I had a check up with my gyno - he didn't do a pap smear, he just checked to see if my cervix had closed, and it had.  However, once I got home, I noticed that I was bleeding again.  Is this my cycle starting again, or what?  Please if there's anyone who has experienced this please help me out.","how far along were you in the pregnancy? With a D & C i was bleeding for more than 4 weeks ,so when a miscarriage happens naturally it might be longer. An exam from the doctor shouldn't cause bleeding more than a pad could handle, however you are probably still bleeding from the miscarriage. I was told by a nurse that if the bleeding is very abnormal or not decreasing over the period to give them a call. Either ways, check with your doctor again just to make sure. I am sorry for your loss. There is hope, god decides the right time for us.good luck.",miscarriage,,Female,,,,,,"I recently had a miscarriage, my doc says that everything seems okay.  Why am I still bleeding?",recently had a miscarriage,,,,,,,,,,,"However, once I got home, I noticed that I was bleeding again.  Is this my cycle starting again, or what? ",recently had a miscarriage,,,,,"Yes: Why am I still bleeding? ; Is this my cycle starting again, or what?",Yes: Please if there's anyone who has experienced this please help me out.,,,,,"Yes: I am sorry for your loss. There is hope, god decides the right time for us.good luck.",,,
