,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
0,1352121,how good is water therapy.i drink 1.5 ltrs 1st thing in the morning how effective is it in cleansing your body,"Is water therapy the answer to all ailments? Ive been on it for 3 weeks but some prevailed me from continuing the therapy since fluid retention may cause high blood pressure. i used to take hypertensive drugs but have been stopped by my doctor as blood pressure has stabilized. My friend who introduced me to water therapy said that it is for life as our body needs water to cleanse us from all sorts of ailments..by the way, im 55 years old and lately have been having joint pains in the hands..hoping this therapy will ease the discomfort.  I do exercise but taking 1.5 liters of water in 10 minutes every morning is another hope for me to get me out of these joint pains..please help me clarify my doubts on water therapy..thank you","Yes, water is very good for you.  http://www.watercure.com/",water therapy.,,,,,,,,but some prevailed me from continuing the therapy since fluid retention may cause high blood pressure.,water therapy,,,,,,,,,  lately have been having joint pains in the hands..hoping this therapy will ease the discomfort. ~~~,water therapy,please help me clarify my doubts on water therapy.,water therapy,,,,,Yes: Is water therapy the answer to all ailments?,Yes: please help me clarify my doubts on water therapy..thank you,,,,,No,,,
1,1571367,Discharge for 2 years..what could it be?,I have had constant vaginal discharge for the past 2 years. I have been to my gynocologist and I keep getting a diagnosis of yeast infection or bacterial vaginosis. I can't be sexual because I haven't had sex since Feburary..it still hasn't cleared up with medication. I even went for a sonogram to check my liver to see if maybe it was something with the kidneys..Nothing. Recently it has started to itch and become red. I am tired of alway have to insert medication into me every night and wearing a panty liner. Does anyone have any clue..btw discharge ranges from white and thick to stringy light brown to light blood discharge.. and all of my STD test have came back negative,"what are you using? monistat? if so and its not working, you have a different kind of yeast infection. ask for the pill that gets rid of yeast infections, i can't remember the name, but they will know what you are talking about. it works like a charm. monistat doesn't work on all types of yeast infections. on the rare occassion that i get one the pill is the only thing that will work for it, because I don't get the common one. If that doesn't work try using a different soap down there. you might be sensitive to the kind of soap that you use, try summers eve intimate cleanser, it is very gentle and made for that area.",vaginal discharge,,Female,,I am tired of alway have to insert medication into me every night and wearing a panty liner. ,constant vaginal discharge for the past 2 years,,,,,,,,,,,,,,,I even went for a sonogram to check my liver to see if maybe it was something with the kidneys..Nothing,constant vaginal discharge for the past 2 years, I have been to my gynocologist and I keep getting a diagnosis of yeast infection or bacterial vaginosis ,constant vaginal discharge for the past 2 years,,,Yes: Does anyone have any clue,,,,,,Other: NA,,,
2,2580096,Taking medicine while trying to conceive??? Please read.?,"I had a miscarriage back in early february, and now I am trying to conceive again.  We really want to start a family. I have chronic sinunitis and am prone to sinus infections a lot.  I talked to a friend of mine whose doctor actually gave her a list of medicines that were the safest to take while trying to conceive, and sudafed was on that list.  That is what I am trying now to unblock my sinuses and relieve the sinus pressure and headaches.  I am trying to avoid putting anything in my body that might screw up my chances of becoming pregnant. Am I being overly cautious?  The doctors where I live aren't worth a flip.  Does anybody have any suggestions that are safe to try for my sinuses if the sudafed doesn't work???  Serious answers only!  Thsnks.",Most of us aren't doctors here on Yahoo Q&A's. Try getting a new doctor.If you take advice from someone on Yahoo Q&A's and it harms you in any way then it's your fault.Be careful.,trying to conceive again,,Female,,I had a miscarriage back in early February,miscarriage,,,,,The doctors where I live aren't worth a flip. ,The doctors ,,,,,,,We really want to start a family.,a family,,,,,,,Yes:  Does anybody have any suggestions that are safe to try for my sinuses if the sudafed doesn't work???,Yes: Am I being overly cautious? ,,,,,Yes: Be careful.,,,
3,2552587,Swollen lump w/pain to touch and strange discomfort in lower abdomen/pelvic region.?,"I had not noticed anything at all and have become slightly bothered now without any information as to -what- it could be. Help?
The lump is slightly larger than 1 inch long, in an oval shape about 3/4-1inch thick.  I would guess the volume of about 1cubic inch total. It's hard, not squishy, and doesn't move more than a hair in any direction. It seems to be fine until I touch it. It's not like 'ouch!' painful, just tender. The skin around it is smooth and red, stretched a bit.  It's located dead-center between my belly button and gential area. Doesn't seem to be a lymphnode but I am not that familiar with lymphnodes.  When I gently pressed around it I noticed also that above my genital region the whole area (size of palm) is puffy. My lower gut and the general problem area has kind of had this faint ache sensation move through it quickly and then go away. I am not otherwise having problems. Any idea what this is, or could be? I really can't afford to see a doctor.","Lymph nodes are located off to the sides, not dead center in the abdomen.  I'm betting on a hernia.  Please read more about it here: http://en.wikipedia.org/wiki/Hernia

Because you are female, this could certainly be something more profound and I agree with the others... you can't afford NOT to go to the doctor.  

Call your local Health Department, explain your situation, ask if there is a free or low cost way to be seen in your city/county.  If you experience intense pain, discomfort, fever or additional swelling, go to the Emergency Room and tell them that you have no insurance, but would like to speak with a social worker to see if you qualify for assistance or bill reduction.

Keep in mind that while it might cost a bit at this point, it will probably only get worse later, risk your health to a large degree and certainly won't get less expensive to treat... only more complex.

I will tell you that this does NOT sound like anything I can think of that would go away on its own.  Even fibroids would probably move a bit when you touch the area.  Hernias can be quite dangerous if they go untreated, so please make arrangements to be seen by a qualified physician.  I'm happy to assist you if you contact me offlist by e-mail and tell me your area and income situation.",Swollen lump w/pain to touch and strange discomfort in lower abdomen/pelvic region,,Female,,,,,,,, I had not noticed anything at all and have become slightly bothered now without any information as to -what- it could be.,Swollen lump w/pain ,,,,,,,,,Doesn't seem to be a lymphnode but I am not that familiar with lymphnodes.,Swollen lump w/pain ,,,,,"Yes: Any idea what this is, or could be?",Yes: I really can't afford to see a doctor.,,,,,Yes: you can't afford NOT to go to the doctor.  ,,,
4,2968024,"I need some help from a doctor, please help doctors out there!?","Accidents That Need a Doctor's Care
Yesterday you were out shooting some baskets or maybe playing some touch football when you made this sudden turn and heard a soft ""pop."" Soft popping sounds don't usually get you excited, but this one came from your knee. The next thing you knew, your hands were wrapped around that rascal and your eyes were filled with tears of pain.
Today you woke up with swelling, tenderness, radiating pain, and perhaps some discoloration and loss of motion.
What kind of damage could have occurred? Well, there are basically three common forms of destruction to choose from: torn cartilage, a torn ligament, or both.
What should you do about it: That's easy. Put it on ice and go to a doctor�today.
I got this ^^^^ information from google and it pretty much describes my situation with my knee. But still I don't have any further information and I would really really appreciate some help from a doctor who knows about this...","Sounds like you could have injured your ACL (anterior cruciate ligament) or your meniscus. Both are internal structures of the knee which likely explains the swelling of the knee. Sometimes you will experience instablility, locking, catching, etc. 
 Right know you should ice the knee and keep it elevated. Within the next week or so I would recommend seeing an orthopedist or primary care sports med physician. There is a good chance they will order an MRI of the knee to determine if something was indeed torn. If so, then options are surgery or physical therapy. Which you option you and the doc choose depends on your age, level of activity, extent of injury, etc.
  I hope this helps.","swelling, tenderness, radiating pain, and perhaps some discoloration and loss of motion.",,,,,,,,,,,,,,,,,,,,I got this ^^^^ information from google and it pretty much describes my situation with my knee. But still I don't have any further information and I would really really appreciate some help from a doctor who knows about this...,"swelling, tenderness, radiating pain, and perhaps some discoloration and loss of motion",,,,,Yes: I got this ^^^^ information from google and it pretty much describes my situation with my knee. But still I don't have any further information and I would really really appreciate some help from a doctor who knows about this...,,,,,,Other: ,,,
5,2354583,When will the swelling go away with my ankle sprain?,"I sprained my ankle 5 weeks ago today pretty bad. I went to the doctor an hour after it happened and it was xrayed and there was no break, just a sprain.  They took two xrays.  It was very swollen for a full week then the swelling started to go down. Since then the swelling has not gone down much more. I have pretty much no pain when walking, and I am walking as I was before the fall now. I just would have thought the swelling would have gone away before now, it still looks like a small egg on the side of my ankle. Does anyone have any suggestions as to what to do? Or was anyone in a similiar situation? How long did it take for your swelling to go away? Thanks so much!!!","It's called chronic inflammation...it occurs because of lots of different things.... do some ankle exercises to help try and pump the fluid around

try these

http://www.med.umich.edu/1libr/sma/xankspra.gif

you can use heat to warm it up because it is not a recent injury, meaning it's been over a week since it happened, so heat is good for stretch and warm up.... then do exercises twice a day and ice afterwards. Dont over-do it though!!!!",swelling,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes: Does anyone have any suggestions as to what to do? How long did it take for your swelling to go away?,,Yes: Or was anyone in a similiar situation?,,,,Other: ,,,
6,342129,I need help?,My gandpa is 72 years old he smokes alot and is an alcoholic. He drinks like a whole bottle of varka everyday and smokes a pack of cigaretts a day. He is always short of breath and caughs  alot and when i talk to him he sometimes forgets what we are talking about. Is there any way to get him to stop drinking and smoking. or is it to late. If we were just to cut him off from these things should we do it gradually or just at one time.,"First of all, as heartbreaking his self destructive behaviour is, your grandpa is an adult, and able to do what he wants. if he doesn't want to give up the booze and ciggies, then he won't no matter what you attempt. Given his symptoms, it is late for him to change, I am sure he has been smoking for decades by now. However, you can always speak to him and say. ""Gramps, i really love you, and would like to have you around longer in my life. If you want to give up smoking and drinking, I will help you. But it breaks my heart to see you like this.""
Don't cut him cold turkey, both alcohol and cigarettes are addictive, and you are just asking him to sneak around behind your back to indulge his habits. If he is drinking a bottle of vodka a day, he is definitely an alcoholic, and cutting him off would result in serious withdrawal symptoms. Only in a medically managed detoxification program would he succeed in breaking the liquor habit.",stop drinking and smoking,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes:  Is there any way to get him to stop drinking and smoking,Yes: If we were just to cut him off from these things should we do it gradually or just at one time.,,,,,"Yes: However, you can always speak to him and say. ""Gramps, i really love you, and would like to have you around longer in my life. If you want to give up smoking and drinking, I will help you. But it breaks my heart to see you like this.""",,,
8,979075,what can be the reason for puffiness below the lower lids[sagging of skin] that is there through out the day?,"my husband is 39 yrs old and a case of mild hypertension,he is taking 1/2 a tab of atenelol 0.25 everyday for the last almost 4 yrs. now i have started seeing that he has sagging of the skin below his lower lids like that is usually seen in people who drink a lot.he does drink but only once a week,  usually saturdays and isa moderate drinker , though he was a heavy drinker 7 yrs back.i am worried for him and would like to know what is the reason for this sagging of the skin and what can i do to cure it.thanks a lot","It is often a sign of an unhealthy liver. However, many things can contribute to an unhealthy liver, not just heavy drinking. Look at his overall health including diet, exercise, etc.",sagging of the skin below his lower lids,,Female,,,,,,i am worried for him,sagging of the skin below his lower lids,,,,,,,,,,,,,,,,,Yes: would like to know what is the reason for this sagging of the skin and what can i do to cure it,,,,,,Yes: ,,,
9,2503326,Tylenol 3 while pregnant?,"I went to the doctor today and she informed me that my beta had doubled since the other day, which is good.  Going by the beta though, I am only 2 weeks pregnant.  

I told my doctor that I have been experiencing major migraines ( which I have since my c-section 3 years ago).  She gave me a prescription for Tylenol 3s.  I know that if it were dangerous she wouldn't have given them to me, but I was just wondering if anyone else has taken them during pregnancy?  Thanks!","Yes I did for an infected tooth. It is ok to take. I took mine in the first trimester and the third.........oh I came back to read and saw a women say to take advil. Definitley dont take advil or ibuprofen. That is worse than the tylenol 3. I had asked the doctor, the dentist and the pharmicist and looked it up online to make sure it was fine to take..lol, I wanted to really make sure. It is fine.",prescription for Tylenol 3s,,Female,,,,"she informed me that my beta had doubled since the other day, which is good. ",my beta had doubled since the other day,,,,,,,,,,,,,,," I know that if it were dangerous she wouldn't have given them to me, but I was just wondering if anyone else has taken them during pregnancy. ",Tylenol 3,,,Yes: Tylenol 3 while pregnant?,"Yes: She gave me a prescription for Tylenol 3s.  I know that if it were dangerous she wouldn't have given them to me, but I was just wondering if anyone else has taken them during pregnancy?",,,,,Yes:  It is ok to take. ,,,
10,372372,pms cramps or could i be pregnant?,"i was looking around for answers about cramping and saw messages on this site with people pregnant having cramps. i just went off birth control, ovcon and we are starting to try to get pregnant and was gonna start clomid at next period. Well now i am 2 & 1/2 weeks late for my period, but sometimes i am late(although not this late). however this time being late, i feel sick alot, boobs are sore but i have cramps like every night. they last for maybe 5 minutes to 1/2 hour, sometimes really bad and sometimes mild. now it's morning and i have no cramps again but am very sick to my stomach.  this has been going on for over a week. normally for me with pms the cramps don't go away like this.
is it worth taking a test or could it just be stuborn pms?","Take the test already!  Pregnancy symptoms mimic PMS symptoms, but your period is really late already.  If it's negative, see your doctor to confirm it, then maybe ask for Provera to start your period, so you can start the Clomid.  Good luck!",pregnant having cramps,,Female,,now it's morning and i have no cramps again but am very sick to my stomach ,cramping,,,,,,,,,,,,,pms cramps or could i be pregnant? ,cramping,this has been going on for over a week. normally for me with pms the cramps don't go away like this.  ,cramping,,,,,Yes: is it worth taking a test or could it just be stuborn pms?,,,,,,"Yes: Take the test already!  Pregnancy symptoms mimic PMS symptoms, but your period is really late already.  If it's negative, see your doctor to confirm it, then maybe ask for Provera to start your period, so you can start the Clomid.  Good luck!",,,
