,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
1,1571367,Discharge for 2 years..what could it be?,I have had constant vaginal discharge for the past 2 years. I have been to my gynocologist and I keep getting a diagnosis of yeast infection or bacterial vaginosis. I can't be sexual because I haven't had sex since Feburary..it still hasn't cleared up with medication. I even went for a sonogram to check my liver to see if maybe it was something with the kidneys..Nothing. Recently it has started to itch and become red. I am tired of alway have to insert medication into me every night and wearing a panty liner. Does anyone have any clue..btw discharge ranges from white and thick to stringy light brown to light blood discharge.. and all of my STD test have came back negative,"what are you using? monistat? if so and its not working, you have a different kind of yeast infection. ask for the pill that gets rid of yeast infections, i can't remember the name, but they will know what you are talking about. it works like a charm. monistat doesn't work on all types of yeast infections. on the rare occassion that i get one the pill is the only thing that will work for it, because I don't get the common one. If that doesn't work try using a different soap down there. you might be sensitive to the kind of soap that you use, try summers eve intimate cleanser, it is very gentle and made for that area.",vaginal discharge,,Female,,I am tired of alway have to insert medication into me every night and wearing a panty liner. ,constant vaginal discharge for the past 2 years,,,,,,,,,,,,,,,I even went for a sonogram to check my liver to see if maybe it was something with the kidneys..Nothing,constant vaginal discharge for the past 2 years, I have been to my gynocologist and I keep getting a diagnosis of yeast infection or bacterial vaginosis ,constant vaginal discharge for the past 2 years,,,Yes: Does anyone have any clue,,,,,,Other: NA,,,
4,2968024,"I need some help from a doctor, please help doctors out there!?","Accidents That Need a Doctor's Care
Yesterday you were out shooting some baskets or maybe playing some touch football when you made this sudden turn and heard a soft ""pop."" Soft popping sounds don't usually get you excited, but this one came from your knee. The next thing you knew, your hands were wrapped around that rascal and your eyes were filled with tears of pain.
Today you woke up with swelling, tenderness, radiating pain, and perhaps some discoloration and loss of motion.
What kind of damage could have occurred? Well, there are basically three common forms of destruction to choose from: torn cartilage, a torn ligament, or both.
What should you do about it: That's easy. Put it on ice and go to a doctor�today.
I got this ^^^^ information from google and it pretty much describes my situation with my knee. But still I don't have any further information and I would really really appreciate some help from a doctor who knows about this...","Sounds like you could have injured your ACL (anterior cruciate ligament) or your meniscus. Both are internal structures of the knee which likely explains the swelling of the knee. Sometimes you will experience instablility, locking, catching, etc. 
 Right know you should ice the knee and keep it elevated. Within the next week or so I would recommend seeing an orthopedist or primary care sports med physician. There is a good chance they will order an MRI of the knee to determine if something was indeed torn. If so, then options are surgery or physical therapy. Which you option you and the doc choose depends on your age, level of activity, extent of injury, etc.
  I hope this helps.","swelling, tenderness, radiating pain, and perhaps some discoloration and loss of motion.",,,,,,,,,,,,,,,,,,,,I got this ^^^^ information from google and it pretty much describes my situation with my knee. But still I don't have any further information and I would really really appreciate some help from a doctor who knows about this...,"swelling, tenderness, radiating pain, and perhaps some discoloration and loss of motion",,,,,Yes: I got this ^^^^ information from google and it pretty much describes my situation with my knee. But still I don't have any further information and I would really really appreciate some help from a doctor who knows about this...,,,,,,Other: ,,,
5,2354583,When will the swelling go away with my ankle sprain?,"I sprained my ankle 5 weeks ago today pretty bad. I went to the doctor an hour after it happened and it was xrayed and there was no break, just a sprain.  They took two xrays.  It was very swollen for a full week then the swelling started to go down. Since then the swelling has not gone down much more. I have pretty much no pain when walking, and I am walking as I was before the fall now. I just would have thought the swelling would have gone away before now, it still looks like a small egg on the side of my ankle. Does anyone have any suggestions as to what to do? Or was anyone in a similiar situation? How long did it take for your swelling to go away? Thanks so much!!!","It's called chronic inflammation...it occurs because of lots of different things.... do some ankle exercises to help try and pump the fluid around

try these

http://www.med.umich.edu/1libr/sma/xankspra.gif

you can use heat to warm it up because it is not a recent injury, meaning it's been over a week since it happened, so heat is good for stretch and warm up.... then do exercises twice a day and ice afterwards. Dont over-do it though!!!!",swelling,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes: Does anyone have any suggestions as to what to do? How long did it take for your swelling to go away?,,Yes: Or was anyone in a similiar situation?,,,,Other: ,,,
8,979075,what can be the reason for puffiness below the lower lids[sagging of skin] that is there through out the day?,"my husband is 39 yrs old and a case of mild hypertension,he is taking 1/2 a tab of atenelol 0.25 everyday for the last almost 4 yrs. now i have started seeing that he has sagging of the skin below his lower lids like that is usually seen in people who drink a lot.he does drink but only once a week,  usually saturdays and isa moderate drinker , though he was a heavy drinker 7 yrs back.i am worried for him and would like to know what is the reason for this sagging of the skin and what can i do to cure it.thanks a lot","It is often a sign of an unhealthy liver. However, many things can contribute to an unhealthy liver, not just heavy drinking. Look at his overall health including diet, exercise, etc.",sagging of the skin below his lower lids,,Female,,,,,,i am worried for him,sagging of the skin below his lower lids,,,,,,,,,,,,,,,,,Yes: would like to know what is the reason for this sagging of the skin and what can i do to cure it,,,,,,Yes: ,,,
10,372372,pms cramps or could i be pregnant?,"i was looking around for answers about cramping and saw messages on this site with people pregnant having cramps. i just went off birth control, ovcon and we are starting to try to get pregnant and was gonna start clomid at next period. Well now i am 2 & 1/2 weeks late for my period, but sometimes i am late(although not this late). however this time being late, i feel sick alot, boobs are sore but i have cramps like every night. they last for maybe 5 minutes to 1/2 hour, sometimes really bad and sometimes mild. now it's morning and i have no cramps again but am very sick to my stomach.  this has been going on for over a week. normally for me with pms the cramps don't go away like this.
is it worth taking a test or could it just be stuborn pms?","Take the test already!  Pregnancy symptoms mimic PMS symptoms, but your period is really late already.  If it's negative, see your doctor to confirm it, then maybe ask for Provera to start your period, so you can start the Clomid.  Good luck!",pregnant having cramps,,Female,,now it's morning and i have no cramps again but am very sick to my stomach ,cramping,,,,,,,,,,,,,pms cramps or could i be pregnant? ,cramping,this has been going on for over a week. normally for me with pms the cramps don't go away like this.  ,cramping,,,,,Yes: is it worth taking a test or could it just be stuborn pms?,,,,,,"Yes: Take the test already!  Pregnancy symptoms mimic PMS symptoms, but your period is really late already.  If it's negative, see your doctor to confirm it, then maybe ask for Provera to start your period, so you can start the Clomid.  Good luck!",,,
12,1206952,painless lump beside my belly button..?,"A few months ago, I went through this phase where i could do over 200 crunches in 10 minutes. One night, I noticed a small lump beside my belly button, and it freaked me out. It doesnt hurt, i haven't been sick, and i wouldnt know its there until i felt it, but it still bothers me. I've poked at it for a couple of months, and now it sometimes feels like my fallopan tubes are swollen, or something like that. Again, nothing hurts at all. I can't feel the lump/swollenness until i lay down, and sometimes its larger or smaller. It just depends. I havent gone to a doctor, and maybe there's some other way i can treat it?  I haven't been sick at all, and again, nothing hurts. It just feels like a lump and/or something is swollen. ive been told its a hernia, and/or appendicitis. But, My research shows that both involve pain and sickness. I haven't experienced either, so im not sure what it is.","I believe you are correct when you said it may be a hernia.
It seems like a fairly small hernia so the pain is not there...yet.
It gets larger and smaller due to your ""insides"" coming out...it certainly sounds like a hernia to me....I had one many years ago, a much larger one that involved pain.

If I was you I would see a doctor...repairing a hernia(especially a small one) is not that big of a deal...Good Luck.",painless lump beside my belly button,,,,,,,,"One night, I noticed a small lump beside my belly button, and it freaked me out.",painless lump beside my belly button,,,,,but it still bothers me.  ,painless lump beside my belly button,,,,," ive been told its a hernia, and/or appendicitis. But, My research shows that both involve pain and sickness. I haven't experienced either, so im not sure what it is.",painless lump beside my belly button,,,,,Yes: maybe there's some other way i can treat it?,,"Yes: My research shows that both involve pain and sickness. I haven't experienced either, so im not sure what it is.",,,,Yes: I believe you are correct when you said it may be a hernia.,,,
15,2107751,Nausea... medications // helpful remedies?,"I've been taking Augmenten and Percoset to help with pleurisy, which I developed about 6 days ago. I've been taking the medication as regularly as I should, but it makes me feel nauseous often and I've thrown up three times in these 6 days. Is it the Percoset? I've had Augmenten before and never got sick from it, but that doesn't mean it couldn't happen. Any suggestions on how to relieve the nausea or any helpful advice about the pleurisy? Thanks guys. <3M","Ask your doctor if he/she can prescribe you phenergen, to help with the nausea and vomiting which, by the way, is a common side affect to both of those medications. 

I'm really sorry about the pleurisy it can be extremely painful. If you are experiencing any ittching that is sometimes associated with it then you could take OTC Benadryl and that would serve double duty as it would not only help the itching, but also the nausea. 

As always, consult your physician and pharmacist before talking any medications, and I wish you the best.

---------------------------------
Edit:
Regarding the latter posters and allergic reactions:
It's a common misconception that nausea and vomiting is a sign of an allergic reaction, it's not, it's a normal however undesirable side effect of the drug. Most drugs have such side effects along with headache, dizzyness and somnolence. Allergic reactions are caused when the body's  immune system attacks a normally harmless substance (the allergen). The immune system calls upon a protective antibody called immunoglobulin E or IgE to fight these invading substances. The large IgE release ends up causing mast cells to be injured or irritated and they release a variety of strong chemicals, including histamine, into the tissues and blood. This causes the itching, swelling, and fluid leaking from nearby cells. These chemicals cause the familiar signs of an allergic reaction that we all recognize,  itching, airway and throat tightening, hay fever and allergic rhinitis to name just a few.",Nausea,,,,,,,,,,,,,,,,,,,," Is it the Percoset? I've had Augmenten before and never got sick from it, but that doesn't mean it couldn't happen.",taking Augmenten and Percoset ,,,,,Yes: Any suggestions on how to relieve the nausea or any helpful advice about the pleurisy?,,,,,,Yes: I'm really sorry about the pleurisy it can be extremely painful.,,,
17,1996908,I have been morbidly obese over 50 years.  I am 63.  I am 5'6 and weigh 312.?,"I am not willing to try a low card diet like adkins.  My question is :  would going from my current 3200 cal. a day to 2400 a day be of any use?  I think the theory is that I would lose some weight this way.  I am confined to a wheelchair with back problems and arthritis.  I am diabetic and it is in poor control  I have congestive heart failure and high blood presure and higl chorestral.  I am bipolar..
Practical advice please from medical professional or a person who has any of these problems.","Yes, any cut in calories would help",lose some weight,55-64 years old,,,I am confined to a wheelchair with back problems and arthritis. ,morbidly obese,,,,,,,,,,,,,,,,,,,,,Yes: Practical advice please from medical professional or a person who has any of these problems.,,Yes: would going from my current 3200 cal. a day to 2400 a day be of any use?,,,,No,,,
20,2152672,Another ingrown toenail?,"I have another question about ingrown toenails. I have had one for about a week and a half or so. I soaked with w/warm saltwater, put peroxide on it, and put anitbiotic cream on it. A few days ago, i was able to see the ingrown nail and I clipped it. The toe felt great, then I thought I didnt get it all out. The very tip corner of my toe (where to ingrown toenail is/was) is very sensitive to the touch of anything. It hurts really bad if my sock brushes agaist it. I called me doc and they will not do the nail cutting procedure in the office, they told me I have to go to a specialist (podiatrist). A specialist with my insurance is really expensive and I dont have much extra money. What can I do to lessen the tenderness and pain of the tip of my toe? The very tip is the only place it hurts, the sides seem they are not swollen anymore, just red. Any suggestions on how to see if a piece is stuck in there still w/o the terrible pain? Anthing that totally numbs it or anything?","well, its very hard to die from an ingrown toenail... to say that first.
keep the area clean, and allow a lot of fresh air to get to it. you can use all kinds of antiseptics to clean it, some of them even include procainamide (allergy?) that sets down the pain (one brand is called baktine, you can buy it at cvs). if you still have that much pain, there is probably still some nail in there penetrating your tissue = infection + pain. if that's the case it wont go away by itself. you have two options to get it out of there: go to the specialist who is expensive, or go to any general surgeon who will cut out a ""triangle"" on the left/right side of your toe nail (painful at first, but also works).",ingrown toenails,,,,A specialist with my insurance is really expensive and I dont have much extra money.,ingrown toenail,"A few days ago, i was able to see the ingrown nail and I clipped it. The toe felt great, then I thought I didnt get it all out. ",ingrown toenail,,,,,,,It hurts really bad if my sock brushes agaist it.,ingrown toenail,,,,,,,,,,,Yes: Any suggestions on how to see if a piece is stuck in there still w/o the terrible pain? Anthing that totally numbs it or anything?,,,,,,"Yes: well, its very hard to die from an ingrown toenail... to say that first.",,,
21,348581,what kind of disease is this?,"Hi 
  i m 22,172 cm height&50 kg.i feel too skinny.i hav asymetric pectus excavatum(PE).my doctor said weight management is not depent on PE. 
        last 3 years i havn't any kind of growth in my weight.i want increse my weght.last month i took 2000 extra colores from nuts per each day.but it makes only some pus pimple.
     last 6 years i was affected by pimple.
     hair growth in hand,face&body is realy weak and my teeth also bleeding.
       
i feel the above all  depand each other.somthing big behind PE,pimple,skinny &blood bleeding.
       any disease had such a symptoms??????or are these the hormon disease?
       last 3 month my docter doing ,getting money & give some tablets.no more i can  wait ...
    plzzzzzzz reply me if u r a docter or good adviser","Conditions associated with pectus excavatum include Marfan syndrome, Poland syndrome, and Pouter pigeon breast:

Marfan syndrome

The Marfan syndrome is a connective tissue disorder. Connective tissue provides substance and support to tendons, ligaments, blood vessel walls, cartilage, heart valves and many other structures. In the Marfan syndrome, the chemical makeup of the connective tissue isn't normal. As a result, many of these structures aren't as stiff as they should be.

The Marfan syndrome is inherited and affects many parts of the body. There's no single conclusive test for diagnosing it, but people who have it often have many similar traits. Besides perhaps having heart problems, people with the Marfan syndrome are often tall and thin. They also may have slender, tapering fingers, long arms and legs, curvature of the spine and eye problems. Sometimes the Marfan syndrome is so mild that few (if any) symptoms exist. In the most severe cases, which are rare, life-threatening problems may occur at any age.

Poland syndrome

Poland syndrome consists of a deficiency of subcutaneous fat and muscles on one side of the body. It may include underdevelopment of the arm, hand, and fingers on the same side, and may be associated with other conditions such as Moebius syndrome or Klippel-Feil syndrome. The right side of the body is affected twice as often as the left.

It is difficult to determine how many individuals are affected by Poland syndrome, since mild cases may go unnoticed or be misdiagnosed. One study estimated that it may occur in 1 in 30,000 individuals. Poland syndrome does seem to affect males more commonly than females.

Symptoms
Poland syndrome has several distinctive symptoms:

    * Chest muscle deformities - absence of the pectoralis minor and the breastbone part of the pectoralis major
    * Undedevelopment or absence of breast or nipple on the affected side
    * Patchy absence of hair under the arm on the affected side 

Additional symptoms on the affected side may include:

    * Underdeveloped or missing ribs
    * Underdeveloped arm, hand, and fingers
    * Abnormally short, webbed fingers
    * Small, elevated scapula (shoulder bone), called Sprengel deformity",increse my weght.,,,,last 3 years i havn't any kind of growth in my weight.,weight,,,,,"last 3 month my docter doing ,getting money & give some tablets.no more i can  wait ...",my docter,,,,,,,,, but it makes only some pus pimple. ~~~,2000 extra colores from nuts per each day,my doctor said weight management is not depent on PE.,my docter,,,Yes: any disease had such a symptoms??????or are these the hormon disease?,,,,,,Other: NA,,,
