,idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,other_emotional_state,informational_support,emotional_support,esteem_support,tangible_support,network_support,other_support,support_needs,any_notes,other_demographic ,focus 
7,2286054,Why do doctors hand out statins like they are candy to people who don't even have very high cholesterol levels,"One doctor prescribed 4 different statins to my husband over a period of a few years.  Each one caused serious chest pains! He had to go to a cardiologist and get tests to figure to that it was the statins (which cause cardiac and muscle wasting in some people), and he was otherwise very healthy.  Then I had some cholesterol levels that got high after going on Atkins.  My doctor prescribed ""Zetia"" (a drug that is not a statin but has similar side effects) and I also developed some muscle problems that led to an injury and a few months of physical therapy.  Guess what? I figured it out and within 2 days of stopping Zetia, everything was almost back to normal!
Don't tell me that this side-effect is ""rare""!  It's probably present to some extent in a large fraction of the population.  Doctors are handing statins, fosamax and anti-depressants (which I refuse to take) like candy. Go ahead and blame it on the patients if you like.  It's all about the money for some of you.","A doctor will only do what he is trained to do. He is told that these drugs are best for that condition so that is what he prescribes. If you want to blame anybody blame the pharmaceutical companies, they have a bigger control over the teaching of doctors than anybody else. They have the power and influence with the medical community and the government. A large percentage of the people in charge of the FDA retire to the private sector and to jobs with the pharmaceutical companies so why wreck their gravy train. There are alternatives that are just as effective that do not cause side effects. I have seen what they can do and it is awesome.",statins - side-effect,,Female,,,,,,,,Why do doctors hand out statins like they are candy to people who don't even have very high cholesterol levels ,One doctor prescribed 4 different statins,,,Each one caused serious chest pains! He had to go to a cardiologist and get tests to figure to that it was the statins (which cause cardiac and muscle wasting in some people),One doctor prescribed 4 different statins,,,,,,,"Guess what? I figured it out and within 2 days of stopping Zetia, everything was almost back to normal!","My doctor prescribed ""Zetia""",,,,Yes: Why do doctors hand out statins like they are candy to people who don't even have very high cholesterol levels,,,,,"Yes: If you want to blame anybody blame the pharmaceutical companies, they have a bigger control over the teaching of doctors than anybody else.",,,
14,10079,Negative Pregnancy test...No Period?,"Well, I am trying to have another baby. I was pregnant last month but it was a chemical pregnancy so I received my period 1 day late. Now this cycle we actively tried, I know exactly when I ovulated, I had implantation signs on my fertility chart, I have been taking my Basal Body Temp every morning. It is still very high every morning and has been high now 15 days past ovulation. Well... I took an HPT at 10 DPO and then another Sunday (the day I should have gotten my period) and then this morning. I took Accuclear brands on 10 DPO and 13 DPO and this morning at 15 DPO I took the Clear Blue Easy Digital. All negative. I do have light cramping, headache, sore breasts, nausea and am very confused. I am hoping to get in for a blood test, but with my work schedule it is hard. Has anyone here ever had anything like this and be pregnant? Or am I just having false hope?",Go to your doctor and get a blood test done.  Most blood tests to determine pregnancy are more accurate than the home pregnancy tests.  GOOD LUCK.,Negative Pregnancy test,,Female,, I was pregnant last month but it was a chemical pregnancy.  ,I am trying to have another baby.,,,,,,,,,,,,,,," I do have light cramping, headache, sore breasts, nausea and am very confused.",All negative.,,,,,,Yes:  am I just having false hope?,Yes: Has anyone here ever had anything like this and be pregnant?,,,,No,,,
19,481271,QUESTION FOR USERS of KEPPRA?,"My wife was recently started on Keppra for treatment of seizures.  She has been using Depakote for the last 14 years, at a dosage of 375 mg (125 mg at 3 times/day).  She has had no signs of kidney damage, no signs of bone marrow loss, but the doctor still wants to take her off of it.  The doctor wants to increase her dosage of Keppra by one 500 mg pill/week, until she is at the maximum dosage of 3,000 mg, a day (1500 in morning, 1500 in evening) does anyone know if this is a bad thing?  I've been searching online for more info, but am failing to find any.  This medication has no thorough studies done on interactions with infants, and we want to have another child.  Also the doctor wants to take my wife completely off the Depakote, and make the Keppra her main seizure medication.  Please, if anyone can help, let me know?","While I don't know alot about it I do know that the neurologist our local hospital had before she recently accepted a teaching position at Harvard prescribed this medication quite frequently and no one seemed to have any problems, there is always the unknown with a newer medication.  I say if she is generally healthy, why not give it a try.

BTW, the question about Thankgiving was just for fun, my boyfriend does nearly all the cooking here, too.  I do the dang dishes.",Keppra for treatment,,Male,,,,,,,,,,,,,,,,,,"I've been searching online for more info, but am failing to find any. ",Keppra for treatment of seizures,,,,,,"Yes:  Please, if anyone can help, let me know",Yes: does anyone know if this is a bad thing? ,,,,"Yes:  there is always the unknown with a newer medication.  I say if she is generally healthy, why not give it a try.",,,
25,3501286,Dealing with dads cancer?,"My dad has had cancer for over 7 years. I know hes not going to be here forever. I am going to be 20 and there has been so much more. This has been alot to deal with from the daughtors perspective. I have been told I am so strong for dealing with everything the way I have, but I think I need something more. What is out there for people dealing with family and cancer? Psychologist? Groups? What has worked? I have thought about talking to a psychologist or something but I dont know if thats what I need.....im so confused.","Hi Katie, I'm sorry to hear about your dad.  I think you have a good head on your shoulders and are strong for asking for ideas on how to deal with things.  Yahoo has alot of different groups for families and cancer.  You should talk to other people in your same situation, they can shed fresh light on ideas.  I'm a survivor myself, at the same time I had my cancer, my best friend did too, she died, then after I recovered my dad had bladder cancer.  It's scary.  7 years is a good record for having cancer and it's getting to the stage that alot of people just ""live with cancer"" like you do with diabetes, asthma, and other problems so although no one is here forever, he has a good chance for more years with the new clincial trials and treatments coming out each day.  But just knowing he has it is hard, and you should be in a support group of some sort.  A pastor can help, catholic charities has free counselling services, psychologists can help, groups can help, you have to try and see where you feel the most comfortable.",family and cancer,,Female,, I know hes not going to be here forever. ,Dealing with dads cancer,,,,,,,,,,,,, I know hes not going to be here forever. ,Dealing with dads cancer, I have thought about talking to a psychologist or something but I dont know if thats what I need.....im so confused. I know hes not going to be here forever.,Dealing with dads cancer,,,,,,Yes:  I have thought about talking to a psychologist or something but I dont know if thats what I need.....im so confused.,,,Yes:  What is out there for people dealing with family and cancer? Psychologist? Groups? What has worked?,,"Yes: Hi Katie, I'm sorry to hear about your dad.  I think you have a good head on your shoulders and are strong for asking for ideas on how to deal with things.  ",,,
30,2546899,Diareia(sp) Sister has had it for a year. She is 77-Looks 50?,"My sister has been going to this Doctor for a year with cronic diareia. Her Dr. said he has done all he can for her. What a ""bomber"". I pray this is not a PCP as she should have been seeing a internal Dr. many months ago. She has been through test after test and no conclusive diagnoisis. She has lost over thirty pound from, I would imagine dyhadration. This has been over a period of eleven months. She does not look well. Anyway her Doctor as I said told her he could do no more for her, and for her to see someone else. Why, or he may have reccommended another specialist. 
Her physical condition her entire life, she never got tired on trips, and ready to go anywhere on a moments notice. She has more stamina now sick, than I do well.  I know she does not drank bottled water. Her husband is an alcoholic, and has been his entire life. She never, ever drinks. Her husband has been feeding her high saturated fat, sugar coated buns and she has gained 4 lbs. ""Whopee"". What is  wrong  with her..","Rody-O.  To make sure that your spelling is accurate.  Do a Spellcheck.  Doesn't your computer has that feature?  Your sister needs to see a GI (gastrointestinal specialist).  There are differential diagnosis for what she has.  Foremost that come to mind due to the duration of the diarrhea is  colon cancer, or the inflammatory intestinal disease- Crohn's disease

What is diarrhea?

Diarrhea�loose, watery stools occurring more than three times in one day�is a common problem that usually lasts a day or two and goes away on its own without any special treatment. However, prolonged diarrhea can be a sign of other problems. People with diarrhea may pass more than a quart of stool a day.

Diarrhea can cause dehydration, which means the body lacks enough fluid to function properly. Dehydration is particularly dangerous in children and the elderly, and it must be treated promptly to avoid serious health problems. 

People of all ages can get diarrhea. The average adult has a bout of diarrhea about four times a year.

What causes diarrhea?

Diarrhea may be caused by a temporary problem, like an infection, or a chronic problem, like an intestinal disease. A few of the more common causes of diarrhea are

Bacterial infections. Several types of bacteria, consumed through contaminated food or water, can cause diarrhea. Common culprits include Campylobacter, Salmonella, Shigella, and Escherichia coli. Food poisoning, intestinal fluare known causes.  


Viral infections. Many viruses cause diarrhea, including rotavirus, Norwalk virus, cytomegalovirus, herpes simplex virus, and viral hepatitis.


Food intolerances. Some people are unable to digest some component of food, such as lactose, the sugar found in milk.


Parasites. Parasites can enter the body through food or water and settle in the digestive system. Parasites that cause diarrhea include Giardia lamblia, Entamoeba histolytica, and Cryptosporidium.


Reaction to medicines, such as antibiotics, blood pressure medications, and antacids containing magnesium.


Intestinal diseases, like inflammatory bowel disease or celiac disease., or Crohn's Disease, 
Whipple Disease; ulcerative colitis,.


Functional bowel disorders, such as irritable bowel syndrome, in which the intestines do not work normally. Alcohol and laxative abuse are classified in here.   I'm diagnosed with this.  I'm taking Tagamet for it. No more cramps and diarrhea. 

How Is Diarrhea Treated?

If you have a mild case of diarrhea, you can just let it run its course, or you can treat it with an over-the-counter medicine.Common brand names include Pepto-Bismol, Imodium A-D and Kaopectate, which are available as liquids or tablets. Follow the instructions on the package. 

In addition, you should drink at least six 8-ounce glasses of fluid per day. Choose fruit juice without pulp, broth or soda (without caffeine). Chicken broth (without the fat), tea with honey and sports drinks are also good choices. Instead of drinking liquids with your meals, drink liquids between meals. Drink small amounts of fluids frequently. 

How Can I Relieve Discomfort in the Rectal Area



Some people develop diarrhea after stomach surgery or removal of the gallbladder. The reason may be a change in how quickly food moves through the digestive system after stomach surgery or an increase in bile in the colon that can occur after gallbladder surgery.

In most cases, replacing lost fluid to prevent dehydration is the only treatment necessary. Medicines that stop diarrhea may be helpful in some cases, but they are not recommended for people whose diarrhea is caused by a bacterial infection or parasite�stopping the diarrhea traps the organism in the intestines, prolonging the problem. Instead, doctors usually prescribe antibiotics. Viral causes are either treated with medication or left to run their course, depending on the severity and type of the virus


Points to Remember:
Dia",cronic diareia,,,,"She has lost over thirty pound from, I would imagine dyhadration. This has been over a period of eleven months. She does not look well. ",cronic diareia,,,She has been through test after test and no conclusive diagnoisis.,cronic diareia,"She never, ever drinks. Her husband has been feeding her high saturated fat, sugar coated buns and she has gained 4 lbs. ""Whopee"".",Her husband,,,,,,,,,What is  wrong  with her..,cronic diareia,,,,,,"Yes: Anyway her Doctor as I said told her he could do no more for her, and for her to see someone else. Why, or he may have reccommended another specialist. ",,,,,No,,,
31,2050609,Cervical cancer treatment...?,"Ok, here's my story, I had an abnormal pap done a few years ago, ignored it and didnt have another one done until i found out i was pregnant, it came back abnormal once again but i couldn't do anything about it until after i had the baby (for obvious reasons). Now, after i had my son i had to get a biopsy done and i have two areas of abnormal cell growth and if they are left they will eventually turn into cancer. So i now have to go and get a procedure called LEEP done, where they cut the affected areas out. Has anyone ever had this done? If so does it hurt alot? What about afterwards? Need some words of encouragement  please! Thanks",I have had this done.When you go in they will show you a movie about Dysphlasia { not sure if I spelled it rite but you know what i mean}and how they remove it. What will happen if they do not get it all or it comes back.I know that you are scared.I was terrified.But remeber they caught it early which means chances are they will get it all the first time. As for the Leep it's self honestly it's not fun.But they do freeze the effected area before they do it.What I found more uncomfortable was having the freezing needles put in.I had some  cramping after that lasted about 3 days.I just took Motrin for it. I had to go back every 6 month for 2 years to have Biopsies taken just to be sure it did not come back. I now make sure that I never miss my pap.Good Luck if you need to talk feel free to e-mail me. Hope this helps some.,Cervical cancer treatment,,Female,,,,,,If so does it hurt alot? What about afterwards? Need some words of encouragement,Cervical cancer ,,,,,,,,, i have two areas of abnormal cell growth and if they are left they will eventually turn into cancer.,Cervical cancer ,,,,,,,,Yes: Has anyone ever had this done? If so does it hurt alot? What about afterwards? Need some words of encouragement  please! Thanks,,,,,Yes: I know that you are scared.I was terrified.But remeber they caught it early which means chances are they will get it all the first time. ; Good Luck if you need to talk feel free to e-mail me. Hope this helps some. ,,,
38,4112981,What do I do for a person with terminal cancer?,I have recently met a man who I have fallen madly in love with.  He is a father of two children ages 5 and 8.  He informed me he has liposarcoma and he is terminal.  I don't want to leave this man and I am very devoted to him.  What can I do to make his life more bearable.  I realize that being with him is an excellent avenue on my part but I was wondering if I can be of more support or what can I do for him?,"Do not loose hope yet the info at the site below may just provide you with the answers you need. Good luck, my prayers are with you, I wish I had this info when I was younger and my dad had cancer.",terminal cancer,,Female,,I don't want to leave this man and I am very devoted to him. ,he has liposarcoma and he is terminal,I have recently met a man who I have fallen madly in love with.,a man,,,,,,,,,,,,,,,,,,,,Yes: What do I do for a person with terminal cancer?,,,,,"Yes: Do not loose hope yet the info at the site below may just provide you with the answers you need. Good luck, my prayers are with you, I wish I had this info when I was younger and my dad had cancer.",,,
44,2110547,Does anyone know of a GOOD pyschiartist and therapist in the Southern New Hampshire area?,"I unfortunately live in Greenville NH i use to live in Nashua, NH and had an ok dr there from community counsel.  Well now im back in NH and living where i live i cant go there anymore they say. i have to go to another place that keeps passing me through to diff people that are suppose to call me back. I am a mother of a 13 month old who is bi-polar plus other things. I have been off my meds for a while. (long story) I am doing ok i guess for everything that is happening. but i need help quicker then 2 weeks plus anyone know of any? thanks","Yes. Caroline Morganne. do yo0u know where the christmas tree shop, khols, home depot, a new starbucks, and hannafords is? well it is the big light blue building near there. ask someone how to contact her. i go to her. she s very understanding.",GOOD pyschiartist and therapist,,Female,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes: Does anyone know of a GOOD pyschiartist and therapist in the Southern New Hampshire area?,,"Yes: Yes. Caroline Morganne. do yo0u know where the christmas tree shop, khols, home depot, a new starbucks, and hannafords is? well it is the big light blue building near there. ask someone how to contact her. i go to her. she s very understanding.",,,
45,782530,Hypertension at 16 !@#@?,"I can't really believe it myself
Ok. So this is it-I'm 16, play basketball,badminton , am good at track events, 6ft 1"", 69 kgs. Heck- i've got a 34 waist, and suddenly, over the past 4 days i've been having these throbbing hadaches, that just get worse when i bend low.
More so,i excercise regularly, and just saw a doc,who said I have this high Bp - wierd. My pulse is just 53/min!!

Anyway,no that i do have it, plz suggest some gooooood alternate lifestyle therapies that may help-   and BTW, I'm not one of the BOOk-wORMS.","how much was your blood pressure?

whatever it was,  3 high readings on 3 separate occasions must be there before a diagnosis of hypertension is considered.

believe me, if your pulse is 54 at rest you are very healthy and you dont need any lifestyle modifications. my only advice would be to continue the same and stay away from smoking , alcohol, and drugs.

at such a young age the usual explanation for high blood pressure is secondary , meaning that there is an underlying disease. in that case lifestyle changes are not useful because the underlying condition must be treated.
lifestyle changes are useful for the hypertension that usually comes with middle age .

check out
(white coat hypertension)

its a false rise in blood pressure due to anxiety or fear, its the most common cause of misdiagnosis of hypertension.

ps
i dont know of a relation between bp and psoriasis.
like i said you should get 2 more measurements,and if it is still high, then you will have to think about possible underlying causes,like

kidney vascular abnormality
chronic kidney disease(pyelonephritis)
endocrine problems(pheochromocytoma,thyrotoxicosis)

these are the most common underlying causes of high bp in youth.
i dont think you have any of them though.",throbbing hadaches,12-17 years old,,,,,,,"suddenly, over the past 4 days i've been having these throbbing hadaches, that just get worse when i bend low.",Hypertension at 16,,,,," just saw a doc,who said I have this high Bp - wierd",Hypertension at 16,,,,,,,I can't really believe it myself ,Hypertension at 16,,,,,,,Yes: plz suggest some gooooood alternate lifestyle therapies that may help,,"Yes: believe me, if your pulse is 54 at rest you are very healthy and you dont need any lifestyle modifications. my only advice would be to continue the same and stay away from smoking , alcohol, and drugs.",,,
1,2278191,Is it cancer???,"A few days ago I started getting a sore throat, and it seemed to only be sore on the right side... It felt like there was a lump in my throat!! its kindof at the begining of the throat... so I stcuk a finger gently down to were I was feeling the pain ball feeling and im shocked to find that im feeling of a cyst like ball in my throat!!! Im scared to death... and im wondering if its cancer... my mom and stepdad smoke... but outside so i rarely am around it.... and im only 17.... what else could it be??","It could be anything - swollen lymph node, a tonsil stone, an enlarged tastebud at the very back of your tongue. I don't think it's cancer, but if you're concerned, then go see your doctor and have it looked at.",sore throat,12-17 years old,,,,,,, im shocked to find that im feeling of a cyst like ball in my throat!!! Im scared to death... and im wondering if its cancer...,cancer,,,,,,,,,,,,,,,,,,Yes: m wondering if its cancer... my mom and stepdad smoke... but outside so i rarely am around it.... and im only 17.... what else could it be??,Yes: m wondering if its cancer... my mom and stepdad smoke... but outside so i rarely am around it.... and im only 17.... what else could it be??,,,,"Yes: I don't think it's cancer, but if you're concerned, then go see your doctor and have it looked at.",,,
